Item Fat Content,Item Identifier,Item Type,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Rating,Outlet_Age,Item_Visibility_Log,Sales_Log
Low Fat,FDR39,Meat,OUT049,Tier 1,Medium,Supermarket Type1,0.083929569,20.35,4.7,12,-2.4777772961323272,5.211828761979999
Low Fat,DRI03,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,1e-09,6.03,4.7,12,-20.72326583694641,5.171067915432542
Low Fat,FDJ52,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.017814518,7.145,4.7,12,-4.027741536142164,5.080520744893526
Low Fat,NCD42,Health and Hygiene,OUT049,Tier 1,Medium,Supermarket Type1,0.012657494,16.5,4.7,12,-4.369505828147579,3.6203489757068255
Regular,FDY35,Breads,OUT049,Tier 1,Medium,Supermarket Type1,0.0160526,17.6,4.7,12,-4.131884448756216,3.8053327171255624
Regular,FDL13,Breakfast,OUT049,Tier 1,Medium,Supermarket Type1,0.056406129,13.85,4.7,12,-2.8751774561695376,5.448589104426336
Regular,FDD38,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.008204465,16.75,4.7,12,-4.80307676070978,4.613806782983577
Regular,FDT26,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.068059156,18.85,4.7,12,-2.6873780108090717,4.7986294871925015
Regular,FDE28,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,1e-09,9.5,4.7,12,-20.72326583694641,5.43575835672663
Regular,FDO46,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.014234595,9.6,4.7,12,-4.252080009657927,5.253775963595988
Regular,FDP45,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.030672457,15.7,4.7,12,-3.484390193207165,5.5380127769360925
Low Fat,DRH51,Dairy,OUT019,Tier 1,Small,Grocery Store,0.170213676,17.6,4.7,6,-1.7707007135445152,4.506295260019219
Low Fat,FDQ10,Snack Foods,OUT019,Tier 1,Small,Grocery Store,0.058092551,12.85,4.7,6,-2.8457178333266624,5.153535495387377
Regular,FDH52,Frozen Foods,OUT019,Tier 1,Small,Grocery Store,0.076868664,9.42,4.7,6,-2.5656569757643246,4.1450281707890175
Regular,FDC10,Snack Foods,OUT019,Tier 1,Small,Grocery Store,0.127599399,9.8,4.7,6,-2.0588596181138876,4.786739793472346
Low Fat,FDY27,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.031898175,6.38,4.7,8,-3.4452064808592424,5.184221026669644
Low Fat,FDY52,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.007348286,6.365,4.7,8,-4.913288190231016,4.156592963034789
Low Fat,DRN35,Hard Drinks,OUT046,Tier 1,Small,Supermarket Type1,0.070247589,8.01,4.7,8,-2.6557292916419337,3.6520391056433934
Low Fat,DRI47,Hard Drinks,OUT046,Tier 1,Small,Supermarket Type1,0.020920179,14.7,4.7,8,-3.867041083416667,4.975441873834817
Low Fat,NCT05,Health and Hygiene,OUT046,Tier 1,Small,Supermarket Type1,0.020951848,10.895,4.7,8,-3.8655284264803993,5.546610791746395
Low Fat,NCW17,Health and Hygiene,OUT046,Tier 1,Small,Supermarket Type1,0.019386234,18.0,4.7,8,-3.9431920524181816,4.8512440174088205
Low Fat,FDA39,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.012717946,6.32,4.7,8,-4.364741212096556,3.7204314143268453
Regular,FDS25,Canned,OUT046,Tier 1,Small,Supermarket Type1,0.140008554,6.885,4.7,8,-1.9660517582393617,4.6979571852479785
Regular,FDC16,Dairy,OUT046,Tier 1,Small,Supermarket Type1,1e-09,11.5,4.7,8,-20.72326583694641,4.491486237582626
Regular,FDN28,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.030247903,5.88,4.7,8,-3.498328419222239,4.628876946932723
Regular,FDW03,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.024541277,5.63,4.7,8,-3.7073988035634624,4.66467041120164
Regular,FDJ21,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.038528228,16.7,4.7,8,-3.256364111539205,4.976114240223881
Low Fat,FDD48,Baking Goods,OUT045,Tier 2,Medium,Supermarket Type1,0.030219852,10.395,4.7,9,-3.4992562195684638,4.751152740176306
Low Fat,FDW13,Canned,OUT045,Tier 2,Medium,Supermarket Type1,0.098083231,8.5,4.7,9,-2.3219388648409063,3.9383221317620465
Low Fat,DRD15,Dairy,OUT045,Tier 2,Medium,Supermarket Type1,0.056911107,10.6,4.7,9,-2.8662647547903415,5.459433162113646
Low Fat,FDH32,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.076214289,12.8,4.7,9,-2.5742063141841154,4.580272802433577
Low Fat,NCT05,Health and Hygiene,OUT045,Tier 2,Small,Supermarket Type1,0.020994339,10.895,4.7,9,-3.863502449028194,5.547780304099539
Low Fat,NCV30,Household,OUT045,Tier 2,Small,Supermarket Type1,0.066065799,20.2,4.7,9,-2.7171040790393897,4.132779710489812
Low Fat,FDW10,Snack Foods,OUT017,Tier 2,High,Supermarket Type1,0.071076055,21.2,4.7,4,-2.6440047780800344,5.169557429545258
Regular,FDR36,Baking Goods,OUT045,Tier 2,High,Supermarket Type1,0.121832956,6.715,4.7,9,-2.1051043855924325,3.7965088938157563
Regular,FDV22,Snack Foods,OUT045,Tier 2,High,Supermarket Type1,0.009958941,14.85,4.7,9,-4.609284538339771,5.068671470737845
Regular,DRA59,Soft Drinks,OUT017,Tier 2,Medium,Supermarket Type1,1e-09,8.27,4.7,4,-20.72326583694641,5.216523626712102
Low Fat,FDI14,Canned,OUT035,Tier 2,Small,Supermarket Type1,0.089660816,14.1,4.7,7,-2.4117214392478528,4.949111601570181
Low Fat,FDT37,Canned,OUT035,Tier 2,Small,Supermarket Type1,0.035263498,14.15,4.7,7,-3.344906901033957,5.544401362155567
Low Fat,FDX25,Canned,OUT035,Tier 2,Small,Supermarket Type1,0.10203648,16.7,4.7,7,-2.282424882579507,5.203617600403381
Low Fat,DRH03,Dairy,OUT035,Tier 2,Small,Supermarket Type1,0.035057688,17.25,4.7,7,-3.350760345759292,4.528418722888952
Low Fat,FDA58,Snack Foods,OUT035,Tier 2,Small,Supermarket Type1,0.103731617,9.395,4.7,7,-2.265948321112711,5.472242101834732
Regular,FDY35,Breads,OUT035,Tier 2,Small,Supermarket Type1,0.016024651,17.6,4.7,7,-4.133627054883696,3.807555424318912
Regular,FDH05,Frozen Foods,OUT035,Tier 2,Small,Supermarket Type1,0.090896452,14.35,4.7,7,-2.398034310463659,5.448022752107357
Regular,FDI41,Frozen Foods,OUT035,Tier 2,Small,Supermarket Type1,0.062245149,18.5,4.7,7,-2.7766746743846853,4.989355816793763
Regular,FDO20,Fruits and Vegetables,OUT035,Tier 2,Small,Supermarket Type1,0.152099033,12.85,4.7,7,-1.8832234373965344,5.535908842134201
Regular,FDC57,Fruits and Vegetables,OUT035,Tier 2,Small,Supermarket Type1,0.054584207,20.1,4.7,7,-2.9080106871561116,5.269825295146787
Regular,FDT27,Meat,OUT035,Tier 2,Small,Supermarket Type1,0.069574013,11.395,4.7,7,-2.665364157800882,5.4547294873889305
Low Fat,FDT34,Snack Foods,OUT010,Tier 3,Medium,Grocery Store,0.291826616,9.3,4.7,13,-1.2315954338934207,4.683948094139827
Low Fat,FDK51,Dairy,OUT010,Tier 3,Medium,Grocery Store,0.008762556,19.85,4.7,13,-4.737267635771665,5.589823617499286
Low Fat,FDK04,Frozen Foods,OUT010,Tier 3,Medium,Grocery Store,0.087559621,7.36,4.7,13,-2.4354353347973268,4.029962473292818
Low Fat,NCZ53,Health and Hygiene,OUT010,Tier 3,Medium,Grocery Store,0.040969757,9.6,4.7,13,-3.194921118610095,5.245556680277958
Regular,FDV04,Frozen Foods,OUT010,Tier 3,High,Grocery Store,0.251094747,7.825,4.7,13,-1.3819249329896333,5.060242901845406
Regular,FDR22,Snack Foods,OUT010,Tier 3,Small,Grocery Store,0.031069993,19.35,4.7,13,-3.4715127808749213,4.727869118798074
Low Fat,FDO24,Baking Goods,OUT013,Tier 3,High,Supermarket Type1,0.176069023,11.1,4.7,10,-1.7368791846885827,5.061077426348068
Low Fat,FDQ24,Baking Goods,OUT013,Tier 3,High,Supermarket Type1,0.073605395,15.7,4.7,10,-2.609036954303305,5.5241469073605876
Low Fat,NCH29,Health and Hygiene,OUT013,Tier 3,High,Supermarket Type1,0.034445116,5.51,4.7,10,-3.368388062255031,4.573396713173078
Low Fat,NCW54,Household,OUT013,Tier 3,High,Supermarket Type1,0.096333029,7.5,4.7,10,-2.339944038712355,4.0751413552376645
Low Fat,NCP30,Household,OUT013,Tier 3,High,Supermarket Type1,0.032741422,20.5,4.7,10,-3.419114274872992,3.725264419563368
Low Fat,FDQ46,Snack Foods,OUT013,Tier 3,High,Supermarket Type1,0.103726639,7.51,4.7,10,-2.265996311490119,4.7154083863766525
Regular,FDY12,Baking Goods,OUT013,Tier 3,High,Supermarket Type1,1e-09,9.8,4.7,10,-20.72326583694641,3.916030962825683
Low Fat,FDV38,Dairy,OUT018,Tier 3,Medium,Supermarket Type2,0.102188428,19.25,4.7,2,-2.280936836586234,4.0145001682164425
Low Fat,FDJ53,Frozen Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.071548187,10.5,4.7,2,-2.6373841122245425,4.797522928452183
Low Fat,FDE22,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.029693277,9.695,4.7,2,-3.5168346224339615,5.08011160426345
Regular,FDB14,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.103142373,20.25,4.7,2,-2.271644983061458,4.560298335192554
Regular,FDU58,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.029129907,6.61,4.7,2,-3.535989900600854,5.244335197216298
Regular,FDB23,Starchy Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.005611367,19.2,4.7,2,-5.182960917116476,5.42585797520706
Low Fat,FDK24,Baking Goods,OUT027,Tier 3,Medium,Supermarket Type3,0.10080442,9.195,4.7,6,-2.294573075099868,3.8389016233574145
Low Fat,FDW49,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.082152451,19.5,4.7,6,-2.499178599277471,5.1979454979838335
Low Fat,NCW53,Health and Hygiene,OUT027,Tier 3,Medium,Supermarket Type3,0.030347404,18.35,4.7,6,-3.495044300555091,5.265361229895667
Low Fat,NCB18,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.041091215,19.6,4.7,6,-3.1919609272857223,4.505917645281133
Low Fat,DRD13,Soft Drinks,OUT027,Tier 3,Medium,Supermarket Type3,0.048841794,15.0,4.7,6,-3.019168898227511,4.185354600565464
Low Fat,DRF01,Soft Drinks,OUT027,Tier 3,Medium,Supermarket Type3,0.174232377,5.655,4.7,6,-1.747365370754546,4.99457501546974
Low Fat,FDN48,Baking Goods,OUT019,Tier 1,Small,Grocery Store,0.113720344,13.35,4.6,6,-2.174012967230294,4.510644098702868
Regular,FDQ49,Breakfast,OUT027,Tier 3,Medium,Supermarket Type3,0.039057677,20.2,4.6,6,-3.2427158279084165,5.056010108784246
Low Fat,DRG27,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.105274111,8.895,4.6,12,-2.251187749519789,3.7114674144523305
Low Fat,FDD03,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.079806266,13.3,4.6,8,-2.528153256305752,5.453310548513535
Low Fat,NCE06,Household,OUT019,Tier 1,Small,Grocery Store,0.160178832,5.825,4.6,6,-1.8314643879099148,5.083200266914732
Regular,FDJ60,Baking Goods,OUT045,Tier 2,Medium,Supermarket Type1,0.062655235,19.35,4.6,9,-2.7701080416736543,5.101806009034497
Low Fat,FDG52,Frozen Foods,OUT013,Tier 3,High,Supermarket Type1,0.065576228,13.65,4.6,10,-2.7245420267556657,3.886504151594468
Low Fat,FDU59,Breads,OUT049,Tier 1,Medium,Supermarket Type1,0.096536082,5.78,4.6,12,-2.337838433787149,5.098983110985453
Low Fat,DRK39,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.049942926,7.02,4.6,12,-2.996874405538485,4.423948024637438
Low Fat,DRL60,Soft Drinks,OUT049,Tier 1,Medium,Supermarket Type1,0.027101431,8.52,4.6,12,-3.608168748062542,5.028921739890205
Regular,FDP48,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.044091657,7.52,4.6,12,-3.1214846981002946,5.214908583326725
Regular,FDA35,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.053921263999999997,14.85,4.6,12,-2.9202303705163497,4.820339628435487
Regular,FDQ40,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.036083537,11.1,4.6,12,-3.3219185564417755,5.173157690254689
Regular,FDH44,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.025912378,19.1,4.6,12,-3.6530345093837586,4.996142783143931
Regular,FDJ21,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.03858813,16.7,4.6,12,-3.2548105627565236,4.980933188253908
Regular,FDW26,Dairy,OUT019,Tier 1,Small,Grocery Store,0.187443314,11.8,4.6,6,-1.6742788046145214,5.400319649649822
Regular,FDB35,Starchy Foods,OUT019,Tier 1,Small,Grocery Store,0.113139486,12.3,4.6,6,-2.1791338321214635,4.543086249890341
Low Fat,FDB08,Fruits and Vegetables,OUT046,Tier 1,Small,Supermarket Type1,0.031103357,6.055,4.6,8,-3.4704395235000938,5.081142218825919
Low Fat,NCY18,Household,OUT046,Tier 1,Small,Supermarket Type1,0.031151633,7.285,4.6,8,-3.4688886113667325,5.160235062789842
Low Fat,NCR38,Household,OUT046,Tier 1,Small,Supermarket Type1,0.113518466,17.25,4.6,8,-2.175789759259002,5.53958527490531
Low Fat,FDK21,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.010012319,7.905,4.6,8,-4.603939044154304,5.527207574157811
Low Fat,DRF01,Soft Drinks,OUT046,Tier 1,Small,Supermarket Type1,1e-09,5.655,4.6,8,-20.72326583694641,5.0006536427526065
Regular,FDA02,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.029722659,14.0,4.6,8,-3.5158455947631677,4.9731313996992474
Regular,FDD40,Dairy,OUT046,Tier 1,Small,Supermarket Type1,0.014793357,20.25,4.6,8,-4.2135770503273395,5.26018030603109
Regular,FDM58,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.079690403,16.85,4.6,8,-2.5296061144890194,4.740176490395288
Regular,FDU24,Baking Goods,OUT046,Tier 1,Small,Supermarket Type1,0.140163038,6.78,4.6,8,-1.9649489768006496,4.556105984273801
Low Fat,FDS55,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.081328781,7.02,4.6,9,-2.5092553152349724,5.017765811425364
Low Fat,FDC45,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.136008489,17.0,4.6,9,-1.99503797607643,5.151617361381407
Low Fat,FDB33,Fruits and Vegetables,OUT045,Tier 2,Medium,Supermarket Type1,0.014609738,17.75,4.6,9,-4.226066986302982,5.0840480722776835
Low Fat,NCP42,Household,OUT045,Tier 2,Small,Supermarket Type1,0.016143389,8.51,4.6,9,-4.126244662965192,5.274269521050682
Low Fat,NCL54,Household,OUT045,Tier 2,Small,Supermarket Type1,0.082921642,12.6,4.6,9,-2.489859189391613,5.1716503600245245
Low Fat,NCC07,Household,OUT045,Tier 2,Small,Supermarket Type1,0.023999722,19.6,4.6,9,-3.729713032034612,4.654878024203962
Low Fat,FDP60,Baking Goods,OUT017,Tier 2,Small,Supermarket Type1,0.056235142,17.35,4.6,4,-2.878213415011531,4.6347445220895676
Low Fat,FDI14,Canned,OUT017,Tier 2,Small,Supermarket Type1,0.090185027,14.1,4.6,4,-2.405891863475421,4.950528538164133
Low Fat,FDJ07,Meat,OUT017,Tier 2,High,Supermarket Type1,0.014505108,7.26,4.6,4,-4.233254415728113,4.782604821208651
Low Fat,DRD12,Soft Drinks,OUT017,Tier 2,High,Supermarket Type1,0.077630199,6.96,4.6,4,-2.5557987651258656,4.520859885078551
Low Fat,DRN37,Soft Drinks,OUT017,Tier 2,High,Supermarket Type1,0.096842096,9.6,4.6,4,-2.334673503197725,5.118686985290571
Low Fat,DRF37,Soft Drinks,OUT017,Tier 2,High,Supermarket Type1,0.084809658,17.25,4.6,4,-2.4673458511599913,5.569073245797694
Regular,FDX35,Breads,OUT045,Tier 2,High,Supermarket Type1,0.080072603,5.035,4.6,9,-2.524821518371425,5.434610691523517
Regular,FDP28,Frozen Foods,OUT045,Tier 2,High,Supermarket Type1,0.080804019,13.65,4.6,9,-2.515728574593075,5.5690831621834915
Regular,FDJ27,Meat,OUT045,Tier 2,High,Supermarket Type1,0.122123201,17.7,4.6,9,-2.1027248995362875,4.622689817073618
Regular,FDF10,Snack Foods,OUT045,Tier 2,High,Supermarket Type1,0.157246634,15.5,4.6,9,-1.8499397890360916,4.987992878415196
Regular,DRC13,Soft Drinks,OUT045,Tier 2,High,Supermarket Type1,1e-09,8.26,4.6,9,-20.72326583694641,4.8168320745587145
Regular,FDG12,Baking Goods,OUT017,Tier 2,High,Supermarket Type1,0.00636189,6.635,4.6,4,-5.057429775964988,4.804920639976093
Regular,FDH50,Canned,OUT017,Tier 2,High,Supermarket Type1,0.162348584,15.0,4.6,4,-1.818009502368454,5.2307160264320665
Regular,FDE20,Fruits and Vegetables,OUT017,Tier 2,Medium,Supermarket Type1,0.005561798,11.35,4.6,4,-5.191833841701143,5.132138807591269
Regular,FDU03,Meat,OUT017,Tier 2,Medium,Supermarket Type1,0.092095924,18.7,4.6,4,-2.384924592943426,5.216723289456349
Low Fat,FDW59,Breads,OUT035,Tier 2,Small,Supermarket Type1,0.020711996,13.15,4.6,7,-3.8770422296576776,4.427914973570298
Low Fat,FDN32,Fruits and Vegetables,OUT035,Tier 2,Small,Supermarket Type1,0.015557426,17.5,4.6,7,-4.163217198080503,5.224275699888365
Low Fat,NCK05,Health and Hygiene,OUT035,Tier 2,Small,Supermarket Type1,0.077439606,20.1,4.6,7,-2.5582569238366757,4.1215316220660645
Low Fat,NCJ18,Household,OUT035,Tier 2,Small,Supermarket Type1,0.163910938,12.35,4.6,7,-1.8084320596445673,4.789260178178007
Low Fat,NCE30,Household,OUT035,Tier 2,Small,Supermarket Type1,0.09911729,16.0,4.6,7,-2.3114513826322667,5.3555961620307135
Low Fat,FDX15,Meat,OUT035,Tier 2,Small,Supermarket Type1,0.156269303,17.2,4.6,7,-1.8561744587959648,5.079276637137656
Low Fat,FDT22,Snack Foods,OUT035,Tier 2,Small,Supermarket Type1,0.11207602,10.395,4.6,7,-2.188577887933643,4.077910255758676
Low Fat,FDR10,Snack Foods,OUT035,Tier 2,Small,Supermarket Type1,0.010037996,17.6,4.6,7,-4.601377786235228,5.103246076227017
Low Fat,DRL49,Soft Drinks,OUT035,Tier 2,Small,Supermarket Type1,0.056418354,13.15,4.6,7,-2.8749607478856123,4.966204016164095
Regular,FDF29,Frozen Foods,OUT035,Tier 2,Small,Supermarket Type1,0.019930418,15.1,4.6,7,-3.9155081715704485,4.886816580325526
Regular,FDT56,Fruits and Vegetables,OUT035,Tier 2,Small,Supermarket Type1,0.115570552,16.0,4.6,7,-2.1578740956801576,4.069447178667586
Regular,FDN03,Meat,OUT035,Tier 2,Small,Supermarket Type1,0.015087112,9.8,4.6,7,-4.193914409542025,5.526013738029982
Regular,FDW15,Meat,OUT035,Tier 2,Small,Supermarket Type1,0.055103174,15.35,4.6,7,-2.8985479601266184,5.015778047441912
Regular,FDU51,Meat,OUT035,Tier 2,Small,Supermarket Type1,0.096495426,20.2,4.6,7,-2.3382596707242937,5.173903143083807
Low Fat,FDQ14,Dairy,OUT010,Tier 3,Medium,Grocery Store,0.103419257,9.27,4.6,13,-2.26896409633691,5.004650755748999
Low Fat,DRC27,Dairy,OUT010,Tier 3,Medium,Grocery Store,0.097251621,13.8,4.6,13,-2.3304536282420347,5.508498061908506
Low Fat,DRE03,Dairy,OUT010,Tier 3,Medium,Grocery Store,0.040550868,19.6,4.6,13,-3.2051980929778034,3.8409952077397134
Low Fat,FDD16,Frozen Foods,OUT010,Tier 3,Medium,Grocery Store,0.060847634,20.5,4.6,13,-2.7993823428024904,4.331648710680675
Low Fat,FDT03,Meat,OUT010,Tier 3,High,Grocery Store,0.016735879,21.25,4.6,13,-4.090200421049279,5.227147842155693
Low Fat,FDG47,Starchy Foods,OUT010,Tier 3,High,Grocery Store,0.116527666,12.8,4.6,13,-2.149626557774588,5.569966089044082
Low Fat,FDG60,Baking Goods,OUT013,Tier 3,High,Supermarket Type1,0.060649213,20.35,4.6,10,-2.8026486197686014,5.454301792605933
Low Fat,FDS37,Canned,OUT013,Tier 3,High,Supermarket Type1,0.031918284,7.655,4.6,10,-3.4445762672441136,4.777013706049953
Low Fat,DRG03,Dairy,OUT013,Tier 3,High,Supermarket Type1,0.061934991,14.5,4.6,10,-2.7816699762896198,5.046644445444828
Low Fat,FDB52,Dairy,OUT013,Tier 3,High,Supermarket Type1,0.030410273,17.75,4.6,10,-3.492974800023064,5.549337529314871
Low Fat,FDK40,Frozen Foods,OUT013,Tier 3,High,Supermarket Type1,1e-09,7.035,4.6,10,-20.72326583694641,5.574777963083977
Low Fat,NCZ53,Health and Hygiene,OUT013,Tier 3,High,Supermarket Type1,0.024456797,9.6,4.6,10,-3.710847105784939,5.234426102561022
Low Fat,NCP41,Health and Hygiene,OUT013,Tier 3,High,Supermarket Type1,0.016197216,16.6,4.6,10,-4.122915903363872,4.699203186910212
Low Fat,NCY42,Household,OUT013,Tier 3,High,Supermarket Type1,0.015149955,6.38,4.6,10,-4.1897577173282,4.977057827830259
Low Fat,NCO43,Others,OUT013,Tier 3,High,Supermarket Type1,0.047059016,5.5,4.6,10,-3.05635280537879,4.616125951816133
Low Fat,FDR46,Snack Foods,OUT013,Tier 3,High,Supermarket Type1,0.139301634,16.85,4.6,10,-1.9711136681862076,4.983442224634234
Low Fat,FDW58,Snack Foods,OUT013,Tier 3,High,Supermarket Type1,0.007546808,20.75,4.6,10,-4.886630586575436,4.655503920144942
Regular,FDX36,Baking Goods,OUT013,Tier 3,High,Supermarket Type1,0.128176489,9.695,4.6,10,-2.05434714444987,5.419828555109092
Regular,FDM01,Breakfast,OUT013,Tier 3,High,Supermarket Type1,0.094488485,7.895,4.6,10,-2.359277303758832,4.622353700125344
Regular,FDX38,Dairy,OUT013,Tier 3,High,Supermarket Type1,0.0481669,10.5,4.6,10,-3.033083215818836,3.908769719226654
Regular,FDH53,Frozen Foods,OUT013,Tier 3,High,Supermarket Type1,0.019183756,20.5,4.6,10,-3.9536913997103085,4.43981429494121
Regular,FDZ51,Meat,OUT013,Tier 3,High,Supermarket Type1,0.054507422,11.3,4.6,10,-2.9094184030988295,4.577895592953209
Regular,FDV57,Snack Foods,OUT013,Tier 3,High,Supermarket Type1,0.065841719,15.25,4.6,10,-2.720501614205669,5.197756425593423
Low Fat,FDV59,Breads,OUT018,Tier 3,Medium,Supermarket Type2,1e-09,13.35,4.6,2,-20.72326583694641,5.387319510645221
Low Fat,FDT02,Dairy,OUT018,Tier 3,Medium,Supermarket Type2,0.02429329,12.6,4.6,2,-3.7175550984542514,3.5405940399378957
Low Fat,DRD60,Soft Drinks,OUT018,Tier 3,Medium,Supermarket Type2,0.037383778,15.7,4.6,2,-3.286518411971,5.197188993837305
Low Fat,FDV35,Breads,OUT018,Tier 3,Medium,Supermarket Type2,0.128728258,19.5,4.6,2,-2.0500516236013318,5.051978112963961
Low Fat,FDK14,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.041273236,6.98,4.6,2,-3.1875410278239347,4.424767586816666
Low Fat,DRC27,Dairy,OUT018,Tier 3,Medium,Supermarket Type2,0.058339153,13.8,4.6,2,-2.841481832988715,5.510522106623275
Low Fat,NCL53,Health and Hygiene,OUT018,Tier 3,Medium,Supermarket Type2,0.036382524,7.5,4.6,2,-3.3136667295192077,5.186842641593984
Regular,FDK26,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.032308482,5.46,4.6,2,-3.432425482607839,5.226950250199621
Low Fat,FDD57,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.022291121,18.1,4.6,6,-3.8035668412383523,4.549756836871912
Low Fat,FDM03,Meat,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,12.65,4.6,6,-20.72326583694641,4.702240633793073
Low Fat,FDX15,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.155541973,17.2,4.6,6,-1.860839660955879,5.079898884491092
Low Fat,FDA10,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.141129263,20.35,4.6,6,-1.9580790497054765,4.8089857493470465
Regular,FDE56,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.158424516,17.25,4.6,6,-1.8424770388506018,4.149769808327511
Regular,FDS31,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.043978369,13.1,4.6,6,-3.124057379581843,5.189795191441521
Regular,FDW39,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.036731658,6.69,4.6,6,-3.304116279956989,5.183114125358493
Regular,FDY39,Meat,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,5.305,4.6,6,-20.72326583694641,5.209818338098947
Low Fat,NCQ53,Health and Hygiene,OUT027,Tier 3,Medium,Supermarket Type3,0.018813776,17.6,4.6,6,-3.973165911530681,5.4649286608863425
Regular,FDG35,Starchy Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.007006883,21.2,4.6,6,-4.960862327321273,5.1623475748720145
Low Fat,NCP18,Household,OUT017,Tier 2,Small,Supermarket Type1,0.028760013,12.15,4.5,4,-3.5487692941127036,5.026973102303874
Low Fat,FDY58,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.040081193,11.65,4.5,2,-3.2168480571794484,5.429649968603344
Low Fat,NCB06,Health and Hygiene,OUT035,Tier 2,Small,Supermarket Type1,0.082316506,17.6,4.5,7,-2.4971836324776255,5.085693291023977
Regular,FDB36,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,1e-09,5.465,4.5,2,-20.72326583694641,4.894570281792236
Low Fat,FDR47,Breads,OUT010,Tier 3,Small,Grocery Store,1e-09,17.85,4.5,13,-20.72326583694641,5.286140528867107
Regular,FDE10,Snack Foods,OUT010,Tier 3,Small,Grocery Store,0.150554711,6.67,4.5,13,-1.8934287326143848,4.875675071656602
Low Fat,DRK01,Soft Drinks,OUT035,Tier 2,Small,Supermarket Type1,0.06105276,7.63,4.5,7,-2.7960168706021036,4.56895838152543
Low Fat,FDL22,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.036390174,16.85,4.5,8,-3.3134564858361117,4.526654977759709
Low Fat,NCD06,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.099729888,13.0,4.5,2,-2.305289867601178,3.8566371373474113
Low Fat,NCT54,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.119721451,8.695,4.5,12,-2.1225874761245427,4.569640412927384
Low Fat,FDV59,Breads,OUT045,Tier 2,Small,Supermarket Type1,0.048124443,13.35,4.5,9,-3.033965060467142,5.383194217056041
Regular,FDY49,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.011953902,17.2,4.5,6,-4.426697526706368,5.1090823668850085
Low Fat,NCS54,Household,OUT013,Tier 3,High,Supermarket Type1,0.009984847,13.6,4.5,10,-4.606686635216233,5.17296387214501
Low Fat,NCJ54,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.059776237,9.895,4.5,6,-2.817147071581692,5.450025923963187
